,TotalPopulation,Total Males By Age,Total Females by Age,state,county,tract,block group
260,3953,2179,1774,02,170,000706,2
261,3332,1695,1637,02,170,001202,2
262,2045,1025,1020,02,020,000901,2
263,2320,1493,827,02,020,000901,1
264,1172,688,484,02,020,001900,5
265,76,21,55,02,020,001900,3
266,823,501,322,02,020,001900,1
267,1125,360,765,02,020,000600,4
268,849,398,451,02,020,000600,5
269,906,442,464,02,020,000600,3
270,1186,594,592,02,020,000600,7
271,1535,875,660,02,020,000702,1
272,579,327,252,02,164,000100,2
273,814,422,392,02,164,000100,1
274,1153,618,535,02,240,000100,1
275,1289,618,671,02,240,000100,2
276,665,351,314,02,290,000100,2
277,493,261,232,02,290,000100,1
278,548,268,280,02,290,000200,2
279,724,481,243,02,290,000200,1
280,548,278,270,02,290,000400,2
281,578,326,252,02,290,000400,1
282,474,264,210,02,290,000300,3
283,495,229,266,02,290,000300,2
284,1404,691,713,02,020,001500,1
285,727,379,348,02,020,001500,3
286,1094,448,646,02,020,001500,5
287,3071,1543,1528,02,020,000101,3
288,369,221,148,02,020,000101,1
289,685,435,250,02,020,001100,2
290,210,133,77,02,020,001100,1
291,1051,497,554,02,020,001300,3
292,618,287,331,02,020,001300,2
293,1160,483,677,02,020,001602,3
294,857,427,430,02,020,001602,1
295,938,462,476,02,020,002301,4
296,692,350,342,02,188,000100,3
297,830,464,366,02,188,000200,1
298,1264,659,605,02,188,000200,4
299,589,296,293,02,188,000200,2
300,1233,730,503,02,013,000100,2
301,1309,745,564,02,013,000100,3
302,1111,559,552,02,220,000100,3
303,122,63,59,02,220,000100,1
304,1372,723,649,02,220,000200,1
305,1210,564,646,02,220,000200,2
306,1337,729,608,02,220,000200,3
307,614,280,334,02,220,000200,5
308,1321,642,679,02,090,000300,4
309,1072,615,457,02,090,000300,3
310,1765,916,849,02,090,001500,4
311,3408,1815,1593,02,090,001500,5
312,2694,1372,1322,02,020,000702,3
313,647,348,299,02,020,000902,3
314,1445,678,767,02,020,000902,1
315,832,366,466,02,020,000902,2
316,568,251,317,02,020,001000,3
317,969,553,416,02,020,001000,1
318,1282,732,550,02,020,001000,2
319,541,312,229,02,020,001000,4
320,747,385,362,02,020,001200,1
321,678,338,340,02,020,001200,5
322,1507,903,604,02,122,000600,2
323,1182,559,623,02,122,000600,3
324,1040,473,567,02,122,000600,4
325,1130,556,574,02,122,000600,1
326,462,242,220,02,122,001100,4
327,1218,682,536,02,122,001100,2
328,868,466,402,02,122,001100,3
329,1092,519,573,02,122,000300,1
330,2773,1726,1047,02,122,001300,2
331,3198,1464,1734,02,122,000700,1
332,2206,1225,981,02,122,000700,3
333,1419,724,695,02,122,000700,4
334,966,512,454,02,122,000700,5
335,2612,1453,1159,02,122,000400,1
336,1331,698,633,02,122,000400,3
337,936,619,317,02,122,000500,2
338,2051,954,1097,02,122,000500,4
339,754,351,403,02,020,001200,3
340,771,341,430,02,020,001200,2
341,1607,736,871,02,020,001601,3
342,1554,781,773,02,020,001601,2
343,1267,645,622,02,020,001701,4
344,2094,1049,1045,02,020,001701,2
345,1227,600,627,02,020,001701,3
346,1137,566,571,02,020,002601,1
347,2036,1025,1011,02,020,002601,2
348,825,427,398,02,020,002711,3
349,4111,1885,2226,02,020,002711,4
350,1588,868,720,02,020,002821,3
351,1647,847,800,02,020,002821,2
352,960,539,421,02,130,000400,1
353,1470,736,734,02,130,000400,2
354,1399,720,679,02,130,000200,1
355,1019,557,462,02,130,000300,1
356,985,519,466,02,130,000300,3
357,4461,2321,2140,02,170,000300,1
358,2524,1115,1409,02,170,000800,2
359,1580,789,791,02,170,000900,1
360,1844,1037,807,02,170,000900,2
361,2748,1470,1278,02,170,001300,4
362,866,492,374,02,170,001300,1
363,3585,1749,1836,02,170,001100,1
364,1346,900,446,02,170,000200,1
365,552,278,274,02,170,000200,2
366,989,499,490,02,180,000200,1
367,835,429,406,02,180,000200,2
368,1566,836,730,02,180,000100,6
369,622,348,274,02,180,000100,2
370,947,464,483,02,110,000200,2
371,1102,591,511,02,020,000203,5
372,852,421,431,02,290,000300,1
373,1847,980,867,02,020,002301,2
374,472,254,218,02,090,000300,1
375,1017,460,557,02,090,001300,2
376,1611,717,894,02,090,001400,1
377,479,246,233,02,130,000100,1
378,1424,786,638,02,122,000800,1
379,2367,1154,1213,02,170,001202,1
380,993,565,428,02,240,000400,2
